Typ aktywności;Data;Dzień tygodnia;Tytuł;Dystans;Kalorie;Czas;Średnie tętno;Maksymalne tętno;Średnie tempo;Najlepsze tempo;Średnia długość kroku
Pływanie w basenie;29.07.2023;sobota;Pływanie w basenie;0.65;184;00:22:00;0;0;03:08:00;00:48:00;0
Kolarstwo;29.07.2023;sobota;Krynica Morska Kolarstwo;21.56;859;01:45:30;125;161;00:00:00;00:00:00;0
Bieganie;29.07.2023;sobota;Krynica Morska Bieganie;5.02;429;00:28:23;167;190;05:40:00;04:21:00;1.16
Chód na bieżni;15.07.2023;sobota;Bieg na bieżni;1.74;429;00:31:01;148;158;17:51:00;15:08:00;0.56
Chód na bieżni;10.06.2023;sobota;Bieg na bieżni;1.87;418;00:30:04;149;157;16:02:00;14:24:00;0.56
Spacerowanie;03.06.2023;sobota;Puchaczów Chodzenie;3.95;566;01:43:30;116;145;00:00:00;09:39:00;0.95
Chód na bieżni;03.06.2023;sobota;Bieg na bieżni;1.17;268;00:20:00;146;154;17:10:00;15:32:00;0.54
Spacerowanie;20.05.2023;sobota;Chodzenie;5.56;575;01:53:47;109;133;20:29:00;07:12:00;1.22
Chód na bieżni;20.05.2023;sobota;Bieg na bieżni;1.92;389;00:30:01;144;154;15:40:00;13:14:00;0.61
Chód na bieżni;13.05.2023;sobota;Bieg na bieżni;2.09;396;00:30:01;146;154;14:21:00;13:20:00;0.64
Chód na bieżni;06.05.2023;sobota;Bieg na bieżni;2.2;335;00:25:01;148;160;11:22:00;13:51:00;0.61
Chód na bieżni;29.04.2023;sobota;Bieg na bieżni;2.17;387;00:31:26;142;149;14:30:00;13:14:00;0.64
Chód na bieżni;22.04.2023;sobota;Bieg na bieżni;2.05;391;00:30:10;146;152;14:43:00;10:38:00;0.8
Jazda na rowerze treningowym;08.04.2023;sobota;Jazda na rowerze treningowym;0;233;00:15:05;168;180;00:00:00;00:00:00;0
Bieganie;01.04.2023;sobota;Lublin Bieganie;8.5;816;01:00:49;156;170;07:09:00;06:20:00;0.94
Bieganie;25.09.2021;sobota;Bieganie;0.56;42;00:06:40;97;109;11:59:00;10:38:00;0
Kolarstwo;25.06.2023;niedziela;Puchaczów Kolarstwo;6.93;231;00:25:01;120;144;00:00:00;00:00:00;0
Chód na bieżni;18.06.2023;niedziela;Bieg na bieżni;1.7;539;01:05:46;122;159;00:00:00;14:39:00;0.54
Chód na bieżni;16.04.2023;niedziela;Bieg na bieżni;2.5;380;00:29:26;144;155;11:47:00;19:26:00;0.43
Bieganie;09.04.2023;niedziela;Lublin Bieganie;10.16;955;01:10:38;161;180;06:57:00;05:41:00;0.95
Chód na bieżni;26.03.2023;niedziela;Chód na bieżni;1.43;266;00:20:01;138;145;14:00:00;09:49:00;0.85
